discipline_title,game_season,event_title,game_name,game_year
Curling,Winter,Mixed Doubles,Beijing 2022,2022
Curling,Winter,Women,Beijing 2022,2022
Curling,Winter,Men,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Moguls,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Freeski Halfpipe,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Freeski Big Air,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Ski Cross,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Freeski Big Air,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Moguls,Beijing 2022,2022
Freestyle Skiing,Winter,Mixed Team Aerials,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Ski Cross,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Aerials,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Aerials,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Freeski Halfpipe,Beijing 2022,2022
Freestyle Skiing,Winter,Women's Freeski Slopestyle,Beijing 2022,2022
Freestyle Skiing,Winter,Men's Freeski Slopestyle,Beijing 2022,2022
Short Track Speed Skating,Winter,Women's 500m,Beijing 2022,2022
Short Track Speed Skating,Winter,Men's 500m,Beijing 2022,2022
Short Track Speed Skating,Winter,Men's 5000m Relay,Beijing 2022,2022
Short Track Speed Skating,Winter,Team Relay,Beijing 2022,2022
Short Track Speed Skating,Winter,Men's 1500m,Beijing 2022,2022
Short Track Speed Skating,Winter,Men's 1000m,Beijing 2022,2022
Short Track Speed Skating,Winter,Women's 3000m Relay,Beijing 2022,2022
Short Track Speed Skating,Winter,Women's 1000m,Beijing 2022,2022
Short Track Speed Skating,Winter,Women's 1500m,Beijing 2022,2022
Snowboard,Winter,Women's Snowboard Halfpipe,Beijing 2022,2022
Snowboard,Winter,Mixed Team Snowboard Cross,Beijing 2022,2022
Snowboard,Winter,Women's Snowboard Cross,Beijing 2022,2022
Snowboard,Winter,Men's Parallel Giant Slalom,Beijing 2022,2022
Snowboard,Winter,Women's Snowboard Big Air,Beijing 2022,2022
Snowboard,Winter,Men's Snowboard Cross,Beijing 2022,2022
Snowboard,Winter,Men's Snowboard Slopestyle,Beijing 2022,2022
Snowboard,Winter,Men's Snowboard Halfpipe,Beijing 2022,2022
Snowboard,Winter,Women's Snowboard Slopestyle,Beijing 2022,2022
Snowboard,Winter,Women's Parallel Giant Slalom,Beijing 2022,2022
Snowboard,Winter,Men's Snowboard Big Air,Beijing 2022,2022
Ski Jumping,Winter,Men's Team,Beijing 2022,2022
Ski Jumping,Winter,Men's LH Individual,Beijing 2022,2022
Ski Jumping,Winter,Mixed Team,Beijing 2022,2022
Ski Jumping,Winter,Women's NH Individual,Beijing 2022,2022
Ski Jumping,Winter,Men's NH Individual,Beijing 2022,2022
Figure skating,Winter,Team Event,Beijing 2022,2022
Figure skating,Winter,Pair Skating,Beijing 2022,2022
Figure skating,Winter,Ice Dance,Beijing 2022,2022
Figure skating,Winter,Women Single Skating,Beijing 2022,2022
Figure skating,Winter,Men Single Skating,Beijing 2022,2022
Luge,Winter,Team Relay,Beijing 2022,2022
Luge,Winter,Doubles,Beijing 2022,2022
Luge,Winter,Men's Singles,Beijing 2022,2022
Luge,Winter,Women's Singles,Beijing 2022,2022
Ice Hockey,Winter,Men,Beijing 2022,2022
Ice Hockey,Winter,Women,Beijing 2022,2022
Biathlon,Winter,Men's 12.5km Pursuit,Beijing 2022,2022
Biathlon,Winter,Mixed Relay 4x6km (W+M),Beijing 2022,2022
Biathlon,Winter,Women's 12.5km Mass Start,Beijing 2022,2022
Biathlon,Winter,Women's 10km Pursuit,Beijing 2022,2022
Biathlon,Winter,Men's 10km Sprint,Beijing 2022,2022
Biathlon,Winter,Women's 7.5km Sprint,Beijing 2022,2022
Biathlon,Winter,Women's 4x6km Relay,Beijing 2022,2022
Biathlon,Winter,Men's 15km Mass Start,Beijing 2022,2022
Biathlon,Winter,Men's 20km Individual,Beijing 2022,2022
